62,14
61,84
58,30
56,32
54,93
55,32
56,78
57,88
58,15
57,69
56,84
58,45
60,36
61,88
60,37
59,98
58,77
58,26
55,79
55,80
56,39
57,70
56,70
59,27
57,30
54,16
55,79
55,52
56,28
58,14
58,25
59,07
58,42
62,22
63,65
62,55
61,87
58,36
55,40
52,09
51,84
50,36
48,94
52,35
53,00
52,04
51,98
52,39
50,97
53,87
53,53
51,38
49,59
49,19
49,68
51,62
51,87
50,95
51,30
51,59
50,41
51,55
52,01
52,11
51,41
49,40
48,20
51,17
50,53
49,93
48,36
50,77
45,99
45,70
45,15
44,35
44,27
44,29
44,61
44,38
43,63
42,03
44,91
44,32
43,87
49,27
49,38
44,42
43,08
43,60
43,01
43,12
43,42
44,35
45,40
44,19
44,11
44,65
43,95
44,50
43,97
44,40
45,54
44,16
44,40
45,18
43,81
46,98
47,02
46,25
47,03
47,70
46,83
45,25
47,08
46,74
46,81
47,66
47,64
48,56
50,06
52,13
47,83
47,55
47,95
47,10
48,25
47,99
49,03
48,96
48,74
50,36
50,06
51,03
48,25
48,78
48,18
49,82
50,86
53,34
50,55
