3,23
3,29
3,05
2,82
2,95
2,89
3,03
3,12
3,04
2,99
3,02
3,28
3,14
3,31
3,23
3,28
3,07
3,06
2,94
2,99
2,91
3,11
2,92
3,12
3,06
2,99
2,91
2,92
2,72
2,67
2,62
2,80
2,89
3,09
3,14
3,20
2,89
2,71
2,75
2,65
2,42
2,44
2,29
2,59
2,70
2,57
2,56
2,47
2,32
2,53
2,54
2,32
2,29
2,31
2,23
2,51
2,30
2,26
2,20
2,30
2,29
2,28
2,36
2,36
2,21
2,10
2,05
2,36
2,27
2,14
1,95
2,27
1,84
1,84
1,93
1,74
1,77
1,73
1,70
1,61
1,75
1,69
1,62
1,63
1,64
1,99
1,93
1,72
1,65
1,62
1,62
1,61
1,64
1,66
1,67
1,62
1,57
1,54
1,56
1,50
1,52
1,48
1,42
1,50
1,50
1,46
1,51
1,34
1,32
1,34
1,34
1,44
1,46
1,44
1,42
1,41
1,37
1,34
1,32
1,25
1,17
0,99
1,26
1,28
1,25
1,32
1,19
1,27
1,25
1,20
1,22
1,33
1,30
1,05
1,24
1,20
1,17
1,18
1,09
0,92
0,13
